DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 120000,11000.00 ,24000.00 ,0.00 ,157.38 
100112 120050,10893.01 ,23710.51 ,0.00 ,156.74 
100112 120140,10787.49 ,23420.44 ,0.00 ,156.05 
100112 120230,10681.97 ,23130.37 ,0.00 ,155.31 
100112 120320,10576.45 ,22840.30 ,0.00 ,154.52 
100112 120410,10470.93 ,22550.23 ,0.00 ,153.66 
100112 120500,10365.41 ,22260.16 ,0.00 ,152.72 
100112 120550,10259.88 ,21970.09 ,0.00 ,151.71 
100112 120640,10154.36 ,21680.02 ,0.00 ,150.60 
100112 120730,10048.84 ,21389.95 ,0.00 ,149.39 
100112 120820,9943.32 ,21099.88 ,0.00 ,148.05 
100112 120910,9837.80 ,20809.81 ,0.00 ,146.58 
100112 121000,9732.28 ,20519.74 ,0.00 ,144.96 
100112 121050,9626.76 ,20229.67 ,0.00 ,143.16 
100112 121140,9521.23 ,19939.60 ,0.00 ,141.15 
100112 121230,9415.71 ,19649.53 ,0.00 ,138.90 
100112 121320,9310.19 ,19359.46 ,0.00 ,136.38 
100112 121410,9204.67 ,19069.39 ,0.00 ,133.55 
100112 121500,9099.15 ,18779.32 ,0.00 ,130.35 
100112 121550,8993.63 ,18489.26 ,0.00 ,126.74 
100112 121640,8888.11 ,18199.19 ,0.00 ,122.67 
100112 121730,8782.58 ,17909.12 ,0.00 ,118.10 
100112 121820,8677.06 ,17619.05 ,0.00 ,112.99 
100112 121910,8571.54 ,17328.98 ,0.00 ,107.33 
100112 122000,8466.02 ,17038.91 ,0.00 ,101.17 
100112 122050,8360.50 ,16748.84 ,0.00 ,94.60 
100112 122140,8254.98 ,16458.77 ,0.00 ,87.75 
100112 122230,8149.46 ,16168.70 ,0.00 ,80.82 
100112 122320,8043.94 ,15878.63 ,0.00 ,74.00 
100112 122410,7938.41 ,15588.56 ,0.00 ,67.47 
100112 122500,7736.58 ,15365.16 ,0.00 ,62.77 
100112 122550,7436.14 ,15345.79 ,0.00 ,61.43 
100112 122640,7188.96 ,15525.65 ,0.00 ,62.04 
