DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 120000,-15000.00 ,2000.00 ,0.00 ,97.59 
100112 120047,-14806.57 ,2000.00 ,0.00 ,97.19 
100112 120134,-14613.14 ,2000.00 ,0.00 ,96.76 
100112 120221,-14419.71 ,2000.00 ,0.00 ,96.32 
100112 120308,-14226.28 ,2000.00 ,0.00 ,95.85 
100112 120355,-14032.84 ,2000.00 ,0.00 ,95.36 
100112 120442,-13839.41 ,2000.00 ,0.00 ,94.85 
100112 120529,-13645.98 ,2000.00 ,0.00 ,94.31 
100112 120616,-13452.55 ,2000.00 ,0.00 ,93.74 
100112 120703,-13259.12 ,2000.00 ,0.00 ,93.14 
100112 120750,-13065.69 ,2000.00 ,0.00 ,92.51 
100112 120837,-12872.26 ,2000.00 ,0.00 ,91.84 
100112 120924,-12678.83 ,2000.00 ,0.00 ,91.14 
100112 121011,-12485.40 ,2000.00 ,0.00 ,90.39 
100112 121058,-12291.96 ,2000.00 ,0.00 ,89.60 
100112 121145,-12098.53 ,2000.00 ,0.00 ,88.75 
100112 121232,-11905.10 ,2000.00 ,0.00 ,87.86 
100112 121319,-11711.67 ,2000.00 ,0.00 ,86.90 
100112 121406,-11518.24 ,2000.00 ,0.00 ,85.89 
100112 121453,-11324.81 ,2000.00 ,0.00 ,84.80 
100112 121540,-11131.38 ,2000.00 ,0.00 ,83.64 
100112 121627,-10937.95 ,2000.00 ,0.00 ,82.40 
100112 121714,-10744.52 ,2000.00 ,0.00 ,81.06 
100112 121801,-10551.08 ,2000.00 ,0.00 ,79.63 
100112 121848,-10357.65 ,2000.00 ,0.00 ,78.08 
100112 121935,-10164.22 ,2000.00 ,0.00 ,76.42 
100112 122022,-9970.79 ,2000.00 ,0.00 ,74.63 
100112 122109,-9777.36 ,2000.00 ,0.00 ,72.69 
100112 122156,-9583.93 ,2000.00 ,0.00 ,70.60 
100112 122243,-9390.50 ,2000.00 ,0.00 ,68.34 
100112 122330,-9197.07 ,2000.00 ,0.00 ,65.90 
100112 122417,-9003.64 ,2000.00 ,0.00 ,63.27 
100112 122504,-8810.20 ,2000.00 ,0.00 ,60.43 
100112 122551,-8616.77 ,2000.00 ,0.00 ,57.37 
100112 122638,-8423.34 ,2000.00 ,0.00 ,54.09 
100112 122725,-8229.91 ,2000.00 ,0.00 ,50.59 
100112 122812,-8036.48 ,2000.00 ,0.00 ,46.88 
100112 122859,-7843.05 ,2000.00 ,0.00 ,42.98 
100112 122946,-7649.62 ,2000.00 ,0.00 ,39.04 
100112 123033,-7456.19 ,2000.00 ,0.00 ,35.18 
100112 123120,-7262.76 ,2000.00 ,0.00 ,31.54 
